Time,Range,
0,5295369.14864664,
10,5278233.50075124,
20,5260544.90472485,
30,5242305.47259562,
40,5223517.38491312,
50,5204182.89079212,
60,5184304.30796477,
70,5163884.0228421,
80,5142924.49058566,
90,5121428.23519039,
100,5099397.84957954,
110,5076835.99571302,
120,5053745.40470999,
130,5030128.87698738,
140,5005989.28241532,
150,4981329.56049109,
160,4956152.72053321,
170,4930461.84189718,
180,4904260.07421473,
190,4877550.63765861,
200,4850336.82323471,
210,4822621.99310406,
220,4794409.58093683,
230,4765703.09230106,
240,4736506.10508881,
250,4706822.26998273,
260,4676655.31096634,
270,4646009.0258813,
280,4614887.28703564,
290,4583294.04186691,
300,4551233.31366457,
310,4518709.20235639,
320,4485725.88536409,
330,4452287.61853368,
340,4418398.73714649,
350,4384063.65701754,
360,4349286.87568833,
370,4314072.97372175,
380,4278426.61610748,
390,4242352.55378713,
400,4205855.62530902,
410,4168940.75862346,
420,4131612.97303047,
430,4093877.3812929,
440,4055739.19192899,
450,4017203.71170014,
460,3978276.34831069,
470,3938962.6133384,
480,3899268.12541614,
490,3859198.6136873,
500,3818759.92155949,
510,3777958.0107839,
520,3736798.9658902,
530,3695288.99901019,
540,3653434.45512648,
550,3611241.81778682,
560,3568717.71532861,
570,3525868.92766301,
580,3482702.39367356,
590,3439225.2192903,
600,3395444.68630685,
610,3351368.26201581,
620,3307003.60974638,
630,3262358.60039768,
640,3217441.32507189,
650,3172260.10892427,
660,3126823.52636008,
670,3081140.41772488,
680,3035219.90765191,
690,2989071.42525068,
700,2942704.72634338,
710,2896129.91798198,
720,2849357.48550779,
730,2802398.32244915,
740,2755263.76359056,
750,2707965.62158984,
760,2660516.22756934,
770,2612928.47616299,
780,2565215.87556488,
790,2517392.60319765,
800,2469473.5677017,
810,2421474.47803982,
820,2373411.92061864,
830,2325303.44544891,
840,2277167.66250286,
850,2229024.34958051,
860,2180894.57316877,
870,2132800.82396857,
880,2084767.1689771,
890,2036819.42224345,
900,1988985.33666494,
910,1941294.81945459,
920,1893780.17417984,
930,1846476.37253661,
940,1799421.35926407,
950,1752656.39379414,
960,1706226.4323265,
970,1660180.55396584,
980,1614572.43427074,
990,1569460.86892896,
1000,1524910.34913853,
1010,1480991.68843174,
1020,1437782.69786412,
1030,1395368.90236652,
1040,1353844.28521964,
1050,1313312.03958976,
1060,1273885.29537686,
1070,1235687.77583957,
1080,1198854.3213486,
1090,1163531.19738034,
1100,1129876.08146695,
1110,1098057.60144593,
1120,1068254.27887433,
1130,1040652.72284183,
1140,1015444.92866182,
1150,992824.572349767,
1160,972982.263961722,
1170,956099.835034699,
1180,942343.882967826,
1190,931858.960635885,
1200,924760.951108366,
1210,921131.263760848,
1220,921012.489843378,
1230,924406.424021653,
1240,931272.458051812,
1250,941532.073298348,
1260,955071.554450459,
1270,971748.089220718,
1280,991396.358629788,
1290,1013835.35339634,
1300,1038874.86778348,
1310,1066321.27145255,
1320,1095982.32553921,
1330,1127670.95869486,
1340,1161208.03368259,
1350,1196424.57103905,
1360,1233161.40283978,
1370,1271271.84951097,
1380,1310620.30198601,
1390,1351082.29710545,
1400,1392544.00563266,
1410,1434901.58244654,
1420,1478060.44284018,
1430,1521934.51151584,
1440,1566445.47685885,
1450,1611522.07218624,
1460,1657099.39748112,
1470,1703118.28915096,
1480,1749524.7411221,
1490,1796269.37769009,
1500,1843306.97664643,
1510,1890596.04002594,
