Time,Range,
0,3806969.06682353,
10,3766062.99532907,
20,3724801.57715251,
30,3683191.06237651,
40,3641237.83554125,
50,3598948.42150177,
60,3556329.49180943,
70,3513387.87166826,
80,3470130.5475228,
90,3426564.67534034,
100,3382697.58965707,
110,3338536.81346609,
120,3294090.06903343,
130,3249365.28973906,
140,3204370.63305014,
150,3159114.49474742,
160,3113605.52453924,
170,3067852.64321453,
180,3021865.06150402,
190,2975652.30084006,
200,2929224.21622902,
210,2882591.02147703,
220,2835763.3170403,
230,2788752.12080599,
240,2741568.90214902,
250,2694225.61965515,
260,2646734.76295153,
270,2599109.39914441,
280,2551363.22442976,
290,2503510.62151791,
300,2455566.72359907,
310,2407547.48567417,
320,2359469.76418556,
330,2311351.40600766,
340,2263211.34799823,
350,2215069.7284704,
360,2166948.01212228,
370,2118869.13015916,
380,2070857.63756017,
390,2022939.8896782,
400,1975144.24061561,
410,1927501.26608387,
420,1880044.01372522,
430,1832808.28413368,
440,1785832.94604239,
450,1739160.28931098,
460,1692836.41940694,
470,1646911.69696255,
480,1601441.2256147,
490,1556485.39057268,
500,1512110.44904286,
510,1468389.17154457,
512.97692872818,1455511.55073218,
911.900530579176,1455520.85471283,
921,1495085.90276535,
931,1539217.19927129,
941,1583956.80690469,
951,1629236.01941193,
961,1674992.24550879,
971,1721168.39844548,
981,1767712.33735375,
991,1814576.3599538,
1001,1861716.74460979,
1011,1909093.33876812,
1021,1956669.19030518,
1031,2004410.21810926,
1041,2052284.91822381,
1051,2100264.10201085,
1061,2148320.66300299,
1071,2196429.36936327,
1081,2244566.67913955,
1091,2292710.57576933,
1101,2340840.42154913,
1111,2388936.82702701,
1121,2436981.53450141,
1131,2484957.31401503,
1141,2532847.8704172,
1151,2580637.76023441,
1161,2628312.3172365,
1171,2675857.58571678,
1181,2723260.26062075,
1191,2770507.63376011,
1201,2817587.54543903,
1211,2864488.34089861,
1221,2911198.83105554,
1231,2957708.25707176,
1241,3004006.25834578,
1251,3050082.84356373,
1261,3095928.36448926,
1271,3141533.49220822,
1281,3186889.19557605,
1291,3231986.7216436,
1301,3276817.57786274,
1311,3321373.51589403,
1321,3365646.51685883,
1331,3409628.77789496,
1341,3453312.69988979,
1351,3496690.87627868,
1361,3539756.08280762,
1371,3582501.26817022,
1381,3624919.54543777,
1391,3667004.18420983,
1401,3708748.60341988,
1411,3750146.3647372,
1421,3791191.16651189,
1431,3831876.83821519,
1441,3872197.33533192,
