Access,Start Time,Stop Time,Duration,
1,73.73662880695,2692.20098373405,2618.4643549271,
2,3091.13019135412,5709.59766253633,2618.46747118221,
3,6108.52195916667,8726.9911604988,2618.46920133213,
4,9125.91972056086,11744.3847552869,2618.46503472603,
5,12143.3088251508,14761.7769177537,2618.46809260283,
6,15160.7018333751,17779.1687825555,2618.46694918032,
7,18178.099264976,20796.5647215986,2618.4654566226,
8,21195.4883472392,23813.9591724615,2618.47082522234,
9,24212.8811432904,26831.3485001582,2618.46735686783,
10,27230.276108878,29848.7435698286,2618.46746095057,
11,30247.6685524328,32866.1370492547,2618.4684968219,
12,33265.0602606205,35883.5321442953,2618.47188367484,
13,36282.455036836,38900.9252033229,2618.47016648688,
14,39299.8466781331,41918.3167870717,2618.47010893866,
15,42317.2391631393,44935.7105598032,2618.47139666389,
16,45334.6344095514,47953.1010325172,2618.46662296579,
17,48352.0253848219,50970.49639105,2618.47100622812,
18,51369.418584445,53987.8901685569,2618.47158411184,
19,54386.8152418617,57005.283992806,2618.46875094431,
20,57404.2053032342,60022.6751834402,2618.46988020599,
21,60421.5985639806,63040.0699875152,2618.47142353467,
22,63438.9921406347,66057.4627557782,2618.47061514351,
23,66456.3858162575,69074.8562764773,2618.47046021986,
24,69473.7792907667,72092.2461002159,2618.46680944928,
25,72491.1744377515,75109.6407418151,2618.46630406361,
26,75508.5661530862,78127.0346206433,2618.46846755703,
27,78525.9598490119,81144.4286538553,2618.46880484342,
28,81543.3543668472,84161.8229172521,2618.46855040487,
29,84560.7473393239,86400,1839.25266067608,
